timestep,edge_idx,flow,velocity
0,0,10.000843,5.908169
0,1,4.7535477,4.018723
0,2,0.0029557568,0.0058009597
0,3,0.0003497198,0.001652449
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,2.8287015,4.389106
0,8,0.48147273,2.7800028
0,9,9.493376,4.662594
0,10,9.448511,4.46698
0,11,1.4840045,3.3599286
0,12,1.6311498,3.715667
0,13,6.2794056,4.6645803
0,14,6.258705,6.229576
0,15,5.3745193,4.9372683
1,0,8.9987545,5.7578936
1,1,4.293243,3.9566584
1,2,0.0054487223,0.012260494
1,3,0.0006443147,0.0040524723
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,2.4918609,4.2574563
1,8,0.4022476,2.7111363
1,9,8.554392,4.5856643
1,10,8.482052,4.3826656
1,11,1.3040296,3.3400211
1,12,1.4521105,3.7094831
1,13,5.653612,4.5661654
1,14,5.619549,6.0758953
1,15,4.831644,4.8270826
2,0,7.9808803,5.607115
2,1,3.9017572,3.8945475
2,2,0.0030055654,0.0077061495
2,3,-1.411899e-06,-1.2206206e-05
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,2.2412453,4.162272
2,8,0.3700027,2.8012638
2,9,7.571303,4.4921403
2,10,7.5412245,4.2966223
2,11,1.1439488,3.3234677
2,12,1.2914829,3.7215812
2,13,5.0562267,4.4624176
2,14,5.034356,5.92813
2,15,4.3654766,4.7261705
3,0,7.304322,5.494087
3,1,3.6537356,3.8510375
3,2,0.002008922,0.0056529753
3,3,9.879849e-05,0.0010894231
3,4,0.0,0.0
3,5,0.0,0.0
3,6,0.0,0.0
3,7,2.0771456,4.080438
3,8,0.35421705,2.8939111
3,9,6.9294405,4.425961
3,10,6.902422,4.222488
3,11,1.0199606,3.282053
3,12,1.154784,3.6696
3,13,4.692154,4.4026275
3,14,4.6767063,5.8319807
3,15,4.0834346,4.660654
4,0,6.833433,5.410266
4,1,3.4471765,3.811616
4,2,0.0014604698,0.0044781645
4,3,5.813095e-05,0.00080961577
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
4,7,1.9235659,3.9955146
4,8,0.34498733,2.9591534
4,9,6.474511,4.3741713
4,10,6.4564714,4.1684294
4,11,0.93988264,3.2545886
4,12,1.0706952,3.6414485
4,13,4.421941,4.3511333
4,14,4.411906,5.7487235
4,15,3.859527,4.603932
5,0,6.5063357,5.347967
5,1,3.294096,3.7824087
5,2,0.0010271929,0.0033675889
5,3,4.1107156e-05,0.00071291305
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
5,7,1.8133812,3.9332433
5,8,0.3393772,2.9997206
5,9,6.1571865,4.3352447
5,10,6.1438837,4.1288166
5,11,0.8869151,3.2375169
5,12,1.0148314,3.6236258
5,13,4.2244015,4.3087425
5,14,4.2166495,5.683628
5,15,3.6880522,4.5562525
6,0,6.2809772,5.303424
6,1,3.192825,3.763083
6,2,0.000642108,0.0022018696
6,3,2.5702333e-05,0.00053294236
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
6,7,1.746312,3.89601
6,8,0.33619773,3.0286303
6,9,5.9383774,4.306964
6,10,5.9292903,4.1008573
6,11,0.85290754,3.2293434
6,12,0.9810372,3.6169393
6,13,4.083229,4.276934
6,14,4.077971,5.6364746
6,15,3.5705466,4.5232534
7,0,6.0066094,5.237686
7,1,3.0570393,3.7373538
7,2,0.0011748046,0.0042991145
7,3,4.710649e-05,0.0012631958
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
7,7,1.6606792,3.8475027
7,8,0.31029004,2.9777439
7,9,5.6850204,4.2711525
7,10,5.6689186,4.063948
7,11,0.80701077,3.2117991
7,12,0.93373454,3.5999126
7,13,3.9060438,4.235568
7,14,3.8956556,5.573257
7,15,3.4119282,4.4779854
8,0,5.7092495,5.169131
8,1,2.9399478,3.713073
8,2,0.00084091065,0.0032678857
8,3,3.34517e-05,0.0011480016
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,1.5994399,3.815146
8,8,0.29980874,2.9905772
8,9,5.400418,4.2325635
8,10,5.387719,4.0238624
8,11,0.7589421,3.192759
8,12,0.8831688,3.5796928
8,13,3.728804,4.194169
8,14,3.7214992,5.5115805
8,15,3.271245,4.4336033
9,0,5.491532,5.1172857
9,1,2.8554506,3.6936464
9,2,0.00063380896,0.0025811992
9,3,2.5867257e-05,0.0011188518
9,4,0.0,0.0
9,5,0.0,0.0
9,6,0.0,0.0
9,7,1.5536072,3.789806
9,8,0.2950663,3.010459
9,9,5.189748,4.2008533
9,10,5.18011,3.992765
9,11,0.7199153,3.170619
9,12,0.8430664,3.558889
9,13,3.6048818,4.1635747
9,14,3.599789,5.4679756
9,15,3.1734958,4.4020586
10,0,5.337162,5.079299
10,1,2.7924652,3.677875
10,2,0.00048641383,0.0020566655
10,3,1.958214e-05,0.0010587977
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
10,7,1.5175852,3.7692924
10,8,0.2921425,3.025395
10,9,5.040213,4.1744804
10,10,5.0332966,3.9684634
10,11,0.6910895,3.1509418
10,12,0.8158153,3.5448098
10,13,3.517586,4.14127
10,14,3.5138865,5.4364705
10,15,3.1010294,4.37782
11,0,5.226166,5.0514603
11,1,2.7455487,3.6658638
11,2,0.0003575011,0.0015560221
11,3,1.4325474e-05,0.00095225574
11,4,0.0,0.0
11,5,0.0,0.0
11,6,0.0,0.0
11,7,1.4895662,3.7527654
11,8,0.29028022,3.036686
11,9,4.9324408,4.1550307
11,10,4.927438,3.950593
11,11,0.6705077,3.1359944
11,12,0.7968563,3.5352778
11,13,3.453679,4.1242867
11,14,3.4508848,5.4130516
11,15,3.047634,4.3596478
12,0,5.146658,5.0312953
12,1,2.7100844,3.65666
12,2,0.0002646968,0.0011783029
12,3,1.0375088e-05,0.00083465443
12,4,0.0,0.0
12,5,0.0,0.0
12,6,0.0,0.0
12,7,1.467368,3.7392554
12,8,0.28919387,3.0455463
12,9,4.854945,4.1408057
12,10,4.851309,3.9377604
12,11,0.6567745,3.127086
12,12,0.7835847,3.5288754
12,13,3.406333,4.1113653
12,14,3.4043186,5.3955345
12,15,3.0075634,4.3457923
13,0,5.0279865,4.9964933
13,1,2.6481986,3.641231
13,2,0.0006042348,0.0028028544
13,3,2.5590893e-05,0.002753246
13,4,0.0,0.0
13,5,0.0,0.0
13,6,0.0,0.0
13,7,1.4288661,3.7153802
13,8,0.27669108,3.0160549
