timestep,node_idx,water_level,inlet_flow
0,0,293.2085,0.0
0,1,287.44354,0.0
0,2,310.92566,1.904929
0,3,309.9645,0.60235494
0,4,310.92566,0.0
0,5,313.18546,0.0
0,6,324.9165,-0.0
0,7,345.26065,0.0
0,8,347.95245,-0.0
0,9,312.76385,0.0
0,10,295.9648,0.48124805
0,11,293.92795,-0.0
0,12,296.1658,0.0
0,13,297.97482,1.4832475
0,14,297.62592,1.634031
0,15,298.2628,0.0
0,16,304.76746,0.8643433
1,0,293.13782,0.0
1,1,287.40137,0.0
1,2,310.87274,1.7660534
1,3,309.91464,0.50317705
1,4,310.87274,0.0
1,5,313.18546,0.0
1,6,324.9165,-0.0
1,7,345.26065,0.0
1,8,347.95245,-0.0
1,9,312.7291,0.0
1,10,295.94775,0.40192038
1,11,293.85962,-0.0
1,12,296.086,0.0
1,13,297.94928,1.3045343
1,14,297.6019,1.457659
1,15,298.2169,0.0
1,16,304.72296,0.752357
2,0,293.05716,0.0
2,1,287.35712,0.0
2,2,310.82715,1.6408048
2,3,309.87262,0.44124526
2,4,310.8271,0.0
2,5,313.18546,0.0
2,6,324.9165,-0.0
2,7,345.26065,0.0
2,8,347.95245,-0.0
2,9,312.703,0.0
2,10,295.94006,0.36963415
2,11,293.7859,-0.0
2,12,296.00806,0.0
2,13,297.924,1.1414378
2,14,297.5784,1.2869754
2,15,298.17255,0.0
2,16,304.6813,0.6455062
3,0,293.0023,0.0
3,1,287.3251,0.0
3,2,310.79797,1.5611212
3,3,309.84656,0.411893
3,4,310.798,0.0
3,5,313.18546,0.0
3,6,324.9165,-0.0
3,7,345.26065,0.0
3,8,347.95245,-0.0
3,9,312.68506,0.0
3,10,295.93628,0.35406867
3,11,293.7364,-0.0
3,12,295.9543,0.0
3,13,297.904,1.019345
3,14,297.5579,1.1544682
3,15,298.14453,0.0
3,16,304.65512,0.5752798
4,0,292.96375,0.0
4,1,287.30258,0.0
4,2,310.77347,1.5113893
4,3,309.82568,0.39945897
4,4,310.77347,0.0
4,5,313.18546,0.0
4,6,324.9165,-0.0
4,7,345.26065,0.0
4,8,347.95245,-0.0
4,9,312.6678,0.0
4,10,295.93405,0.34490103
4,11,293.70096,-0.0
4,12,295.9163,0.0
4,13,297.89072,0.9395263
4,14,297.54477,1.0703665
4,15,298.12363,0.0
4,16,304.63477,0.5398822
5,0,292.9372,0.0
5,1,287.28665,0.0
