node_idx,position_x,position_y,depth,invert_elevation,surface_elevation,base_area
0,802465.6,349898.84,8.977997,292.342,301.32,12.56
1,802528.94,349713.56,6.195984,295.164,301.36,12.56
2,802430.44,349608.6,5.480011,297.61,303.09,12.56
3,802420.06,349242.25,4.699982,310.45,315.15,12.56
4,802338.94,349292.66,3.593994,313.376,316.97,12.56
5,802132.8,349191.62,4.498993,345.361,349.86,12.56
6,802503.8,349878.0,2.617004,296.613,299.23,12.56
7,802502.0,349133.2,0.4899902,312.25,312.74,50.24
8,802484.75,349857.8,6.846985,292.993,299.84,12.56
9,802488.06,349701.22,2.470001,298.21,300.68,12.56
10,802516.75,349676.56,2.657013,298.003,300.66,12.56
11,802482.1,349488.6,2.816986,304.333,307.15,12.56
12,802458.6,349273.53,5.84201,309.348,315.19,12.56
13,802431.75,349236.9,4.860992,310.319,315.18,12.56
14,802228.1,349133.97,9.902008,325.108,335.01,12.56
15,802092.3,349221.88,2.424011,348.426,350.85,12.56
16,802565.4,350028.9,0.4700012,286.6,287.07,0.0
