edge_idx,relative_position_x,relative_position_y,face_length,length,slope
0,0.0,25.0,25.0,25.0,-0.05
1,-25.0,0.0,25.0,25.0,0.03
2,25.0,0.0,25.0,25.0,-0.1275
3,-25.0,0.0,25.0,25.0,0.05125
4,25.0,0.0,25.0,25.0,-0.09375
5,0.0,25.0,25.0,25.0,-0.06375
6,0.0,25.0,25.0,25.0,-0.08375
7,-25.0,0.0,25.0,25.0,-0.0075
8,0.0,-25.0,25.0,25.0,0.02875
9,25.0,0.0,25.0,25.0,0.08875
10,0.0,25.0,25.0,25.0,-0.015
11,-25.0,0.0,25.0,25.0,-0.0975
12,0.0,-25.0,25.0,25.0,-0.0025
13,-25.0,-25.0,35.35534,35.35534,-0.064523496
14,0.0,25.0,25.0,25.0,0.055
15,25.0,0.0,25.0,25.0,0.15875
16,0.0,25.0,25.0,25.0,0.05125
17,-25.0,0.0,25.0,25.0,-0.11625
18,0.0,25.0,25.0,25.0,-0.005
19,-25.0,25.0,35.35534,35.35534,0.015909903
20,-32.375,-10.375,33.966957,33.966957,0.022080284
21,-14.375,-16.125,21.583109,21.583109,0.010135241
22,4.25,-20.34375,20.787579,20.787579,-0.010523112
23,25.0,0.0,25.0,25.0,-0.015
24,-25.0,0.0,25.0,25.0,0.0275
25,25.0,0.0,25.0,25.0,-0.01875
26,0.0,25.0,25.0,25.0,-0.005
27,0.0,25.0,25.0,25.0,-0.03125
28,-25.0,0.0,25.0,25.0,0.0125
29,-26.0,-28.40625,38.488224,38.488224,0.01217905
30,-7.375,-35.375,36.114147,36.114147,0.005191871
31,0.0,25.0,25.0,25.0,-0.08625
32,-25.0,0.0,25.0,25.0,-0.0075
33,25.0,25.0,35.35534,35.35534,-0.06098796
34,-25.0,0.0,25.0,25.0,0.01
35,25.0,0.0,25.0,25.0,0.0
36,0.0,25.0,25.0,25.0,-0.03625
37,0.0,25.0,25.0,25.0,-0.03
38,-25.0,0.0,25.0,25.0,-0.00875
39,0.0,-25.0,25.0,25.0,0.06875
40,0.0,25.0,25.0,25.0,-0.0575
41,-25.0,0.0,25.0,25.0,0.00625
42,25.0,25.0,35.35534,35.35534,-0.079549514
43,-25.0,0.0,25.0,25.0,0.03625
44,25.0,0.0,25.0,25.0,-0.055
45,0.0,25.0,25.0,25.0,-0.06375
46,0.0,25.0,25.0,25.0,-0.0475
47,-25.0,0.0,25.0,25.0,0.05
48,0.0,-25.0,25.0,25.0,0.0275
49,-25.0,0.0,25.0,25.0,-0.01375
50,0.0,25.0,25.0,25.0,-0.06375
51,-25.0,0.0,25.0,25.0,-0.0225
52,25.0,0.0,25.0,25.0,0.00375
53,0.0,25.0,25.0,25.0,-0.0025
54,-25.0,25.0,35.35534,35.35534,0.016793786
55,0.0,25.0,25.0,25.0,-0.05375
56,-25.0,0.0,25.0,25.0,-0.0475
57,25.0,0.0,25.0,25.0,0.0125
58,0.0,25.0,25.0,25.0,-0.0125
59,-25.0,0.0,25.0,25.0,-0.01125
60,25.0,25.0,35.35534,35.35534,-0.048613593
61,0.0,25.0,25.0,25.0,-0.01625
62,0.0,25.0,25.0,25.0,-0.0175
63,-25.0,0.0,25.0,25.0,-0.0125
64,0.0,25.0,25.0,25.0,-0.03
65,-25.0,0.0,25.0,25.0,-0.0225
66,0.0,25.0,25.0,25.0,-0.0275
67,-25.0,0.0,25.0,25.0,-0.00125
68,0.0,25.0,25.0,25.0,-0.0425
69,-25.0,0.0,25.0,25.0,0.00875
70,25.0,0.0,25.0,25.0,0.01625
71,0.0,25.0,25.0,25.0,0.00625
72,-25.0,0.0,25.0,25.0,-0.03875
73,0.0,25.0,25.0,25.0,-0.09
74,-25.0,0.0,25.0,25.0,0.00875
75,0.0,25.0,25.0,25.0,-0.0825
76,-25.0,0.0,25.0,25.0,0.03875
77,0.0,25.0,25.0,25.0,-0.02875
78,0.0,25.0,25.0,25.0,-0.08
79,0.0,25.0,25.0,25.0,-0.01875
80,-25.0,0.0,25.0,25.0,0.02625
81,25.0,0.0,25.0,25.0,-0.07375
82,0.0,25.0,25.0,25.0,-0.06875
83,0.0,25.0,25.0,25.0,-0.03125
84,-25.0,0.0,25.0,25.0,0.00875
85,0.0,25.0,25.0,25.0,-0.005
86,-25.0,0.0,25.0,25.0,0.01625
87,25.0,25.0,35.35534,35.35534,-0.17324117
88,0.0,25.0,25.0,25.0,-0.16375
89,-25.0,0.0,25.0,25.0,0.17625
90,25.0,25.0,35.35534,35.35534,-0.008838835
91,0.0,25.0,25.0,25.0,-0.0175
92,-25.0,0.0,25.0,25.0,0.08125
93,0.0,25.0,25.0,25.0,-0.055
94,-25.0,0.0,25.0,25.0,0.01625
95,-25.0,0.0,25.0,25.0,0.0525
96,0.0,25.0,25.0,25.0,-0.0525
97,-25.0,0.0,25.0,25.0,-0.0075
98,0.0,25.0,25.0,25.0,-0.03
99,0.0,25.0,25.0,25.0,0.145
100,-25.0,0.0,25.0,25.0,0.04125
101,0.0,25.0,25.0,25.0,-0.03875
102,-25.0,0.0,25.0,25.0,0.00375
103,0.0,25.0,25.0,25.0,-0.0825
104,-25.0,0.0,25.0,25.0,-0.02875
105,25.0,0.0,25.0,25.0,0.01125
106,0.0,25.0,25.0,25.0,-0.0225
107,-25.0,0.0,25.0,25.0,0.00875
108,0.0,25.0,25.0,25.0,0.06
109,0.0,25.0,25.0,25.0,-0.005
110,-25.0,25.0,35.35534,35.35534,0.010606602
111,0.0,25.0,25.0,25.0,-0.135
112,0.0,25.0,25.0,25.0,-0.00375
113,-25.0,0.0,25.0,25.0,-0.05
114,0.0,25.0,25.0,25.0,-0.13
115,-25.0,0.0,25.0,25.0,0.16625
116,-25.0,0.0,25.0,25.0,0.02
117,25.0,0.0,25.0,25.0,-0.035
118,0.0,25.0,25.0,25.0,-0.0325
119,0.0,25.0,25.0,25.0,-0.015
120,-25.0,25.0,35.35534,35.35534,0.007954951
121,25.0,0.0,25.0,25.0,0.04375
122,0.0,25.0,25.0,25.0,-0.10125
123,-25.0,0.0,25.0,25.0,-0.055
124,0.0,25.0,25.0,25.0,-0.07375
125,25.0,0.0,25.0,25.0,0.02875
126,-25.0,0.0,25.0,25.0,0.065
127,25.0,0.0,25.0,25.0,-0.1075
128,0.0,25.0,25.0,25.0,-0.015
129,0.0,25.0,25.0,25.0,-0.01375
130,-25.0,0.0,25.0,25.0,0.0525
131,0.0,25.0,25.0,25.0,-0.0275
132,-25.0,0.0,25.0,25.0,0.06
133,0.0,25.0,25.0,25.0,-0.21
134,0.0,25.0,25.0,25.0,-0.0375
135,-25.0,0.0,25.0,25.0,0.03125
136,0.0,25.0,25.0,25.0,-0.2725
137,0.0,25.0,25.0,25.0,-0.045
138,-25.0,0.0,25.0,25.0,0.02125
139,0.0,25.0,25.0,25.0,-0.04375
140,-25.0,0.0,25.0,25.0,0.01875
141,0.0,25.0,25.0,25.0,-0.05375
142,-25.0,0.0,25.0,25.0,0.00625
143,0.0,25.0,25.0,25.0,-0.06625
144,-25.0,0.0,25.0,25.0,-0.04
145,0.0,25.0,25.0,25.0,-0.015
146,-25.0,0.0,25.0,25.0,-0.08125
147,0.0,25.0,25.0,25.0,-0.02625
148,-25.0,0.0,25.0,25.0,0.06375
149,0.0,25.0,25.0,25.0,-0.06625
150,-25.0,0.0,25.0,25.0,0.10125
151,25.0,0.0,25.0,25.0,-0.0275
152,0.0,25.0,25.0,25.0,-0.2475
153,-25.0,0.0,25.0,25.0,-0.17625
154,0.0,25.0,25.0,25.0,-0.02625
155,25.0,0.0,25.0,25.0,-0.05
156,0.0,25.0,25.0,25.0,-0.0275
