node_idx,position_x,position_y,area,roughness,min_elevation,elevation,aspect,curvature,flow_accumulation
0,803051.56,350382.44,825.63544,0.06,329.75012,331.09375,185.9438,8.182191e-05,8.0
1,803076.56,350382.44,616.879,0.06,329.8491,330.90625,182.54686,3.6214384e-05,1.0
2,803101.56,350382.44,611.1451,0.06,329.6939,330.5625,140.8607,3.565868e-06,2.0
3,803126.56,350382.44,605.41113,0.06,329.28427,330.0,89.00771,2.2282113e-05,1.0
4,803151.56,350382.44,599.6772,0.06,328.35257,328.8125,96.00465,6.108269e-05,3.0
5,803176.56,350382.44,593.94324,0.06,328.08344,328.5,173.5787,7.353267e-06,1.0
6,803201.56,350382.44,588.2093,0.06,327.54828,328.46875,155.06308,8.72836e-06,1.0
7,803226.56,350382.44,582.47534,0.06,327.20645,328.6875,206.80579,0.000108034714,2.0
8,803251.56,350382.44,576.7414,0.06,327.2637,328.90625,107.75183,1.4411485e-05,1.0
9,803276.56,350382.44,571.00745,0.06,328.28693,329.875,248.61168,0.00018617389,1.0
10,803301.56,350382.44,754.6146,0.06,329.50204,329.78125,355.43768,9.027145e-06,10.0
11,802976.56,350357.44,667.9379,0.06,323.87296,325.0,249.4642,7.1697425e-05,1.0
12,803001.56,350357.44,829.3287,0.06,325.85526,328.1875,227.9387,0.00012899571,1.0
13,803026.56,350357.44,890.9806,0.06,328.0758,328.9375,193.34506,9.449665e-06,1.0
14,803051.56,350357.44,625.0,0.06,328.3296,328.9375,221.14613,2.4195386e-05,1.0
15,803076.56,350357.44,625.0,0.06,328.70035,329.1875,170.15399,2.5343914e-05,1.0
16,803101.56,350357.44,625.0,0.06,328.579,328.96875,116.44859,3.378372e-05,6.0
17,803126.56,350357.44,625.0,0.06,328.42426,328.65625,199.31229,4.5721074e-05,1.0
18,803151.56,350357.44,625.0,0.06,327.6307,328.375,144.68452,1.7472032e-05,1.0
19,803176.56,350357.44,625.0,0.06,327.57843,327.8125,161.81525,4.7433173e-06,1.0
20,803201.56,350357.44,625.0,0.06,327.03265,327.40625,124.59792,3.5768328e-05,1.0
21,803226.56,350357.44,625.0,0.06,326.28183,326.4375,148.63551,8.298032e-05,3.0
22,803251.56,350357.44,625.0,0.06,326.38617,326.84375,223.30095,3.1652773e-05,2.0
23,803276.56,350357.44,625.0,0.06,327.05878,327.875,222.22609,3.574886e-05,1.0
24,803301.56,350357.44,625.0,0.06,327.93347,329.71875,221.30609,6.326906e-06,1.0
25,803326.56,350357.44,859.355,0.06,329.50583,330.375,0.14066039,1.690581e-05,1.0
26,803351.56,350357.44,720.73834,0.06,330.30087,330.59375,294.8359,8.718324e-06,1.0
27,802926.56,350332.44,811.9791,0.06,322.1863,323.125,163.3334,1.7263634e-05,1.0
28,802951.56,350332.44,818.8445,0.06,322.89346,323.28125,202.42749,3.591651e-05,1.0
29,802976.56,350332.44,625.0,0.06,323.77097,324.59375,280.98038,6.958741e-05,1.0
30,803001.56,350332.44,625.0,0.06,325.59775,326.9375,263.42993,5.460346e-06,1.0
31,803026.56,350332.44,625.0,0.06,327.2203,328.21875,211.20914,3.979115e-05,1.0
32,803051.56,350332.44,625.0,0.06,327.34665,328.03125,197.96915,2.3306377e-05,1.0
33,803076.56,350332.44,625.0,0.06,327.5998,328.4375,134.11406,3.7295857e-05,1.0
34,803101.56,350332.44,625.0,0.06,327.57996,328.25,177.43109,3.3266397e-06,1.0
35,803126.56,350332.44,625.0,0.06,327.2179,328.34375,230.54846,1.0572282e-05,1.0
36,803151.56,350332.44,625.0,0.06,326.78705,327.625,96.29303,2.4809213e-05,1.0
37,803176.56,350332.44,625.0,0.06,326.7842,327.34375,258.4988,2.1799175e-05,1.0
38,803201.56,350332.44,625.0,0.06,326.915,327.5625,42.411537,2.4567695e-05,2.0
39,803226.56,350332.44,625.0,0.06,324.16354,326.3125,134.05904,7.034817e-05,1.0
40,803251.56,350332.44,625.0,0.06,324.24002,330.46875,255.86995,0.004007009,1.0
41,803276.56,350332.44,625.0,0.06,326.53818,329.375,101.6756,0.0025148331,4.0
42,803301.56,350332.44,625.0,0.06,327.09494,328.0,223.13173,4.135432e-05,1.0
43,803326.56,350332.44,625.0,0.06,328.3487,329.59375,229.94994,6.469677e-06,1.0
44,803351.56,350332.44,625.0,0.06,329.64005,330.46875,218.54555,4.8451193e-06,1.0
45,803376.56,350332.44,940.54834,0.06,330.3842,330.96875,2.4031289,1.699196e-05,1.0
46,802851.56,350307.44,555.44196,0.06,312.0896,316.625,237.91512,8.124893e-06,1.0
47,802876.56,350307.44,751.2037,0.06,316.95462,321.03125,195.57703,0.0006325354,3.0
48,802901.56,350307.44,862.3033,0.06,317.99612,320.3125,184.2318,0.00029670962,4.0
49,802926.56,350307.44,625.0,0.06,320.21594,321.6875,205.53343,3.093033e-07,3.0
50,802951.56,350307.44,625.0,0.06,321.18546,322.59375,206.38913,7.655851e-07,1.0
51,802976.56,350307.44,625.0,0.06,322.67932,323.84375,222.44855,4.510831e-05,1.0
52,803001.56,350307.44,625.0,0.06,324.25623,325.34375,210.53528,4.1220515e-05,1.0
53,803026.56,350307.44,625.0,0.06,325.37823,326.125,181.40176,9.574421e-05,1.0
54,803051.56,350307.44,625.0,0.06,325.81503,326.65625,228.00813,1.0617803e-05,1.0
55,803076.56,350307.44,625.0,0.06,326.43356,327.125,247.33841,1.1678415e-05,1.0
56,803101.56,350307.44,625.0,0.06,326.68506,327.28125,187.34554,1.0352877e-05,1.0
57,803126.56,350307.44,625.0,0.06,324.12537,326.28125,100.84031,6.7862704e-05,1.0
58,803151.56,350307.44,625.0,0.06,320.8944,324.25,181.1869,0.00019303866,1.0
59,803176.56,350307.44,625.0,0.06,320.8826,326.78125,233.7871,0.001592941,1.0
60,803201.56,350307.44,625.0,0.06,325.61087,327.46875,135.33119,8.52658e-05,4.0
61,803226.56,350307.44,625.0,0.06,319.67072,323.0625,124.81552,0.0006927983,1.0
62,803251.56,350307.44,625.0,0.06,320.12216,323.65625,237.83128,0.00022613094,1.0
63,803276.56,350307.44,625.0,0.06,324.24258,326.84375,291.90536,0.0002298743,1.0
64,803301.56,350307.44,625.0,0.06,324.70193,327.34375,214.45503,0.00011867262,1.0
65,803326.56,350307.44,625.0,0.06,326.80084,328.9375,229.06526,3.8261358e-05,1.0
66,803351.56,350307.44,625.0,0.06,329.10175,329.65625,251.45967,1.0485205e-05,5.0
67,803376.56,350307.44,625.0,0.06,329.86954,330.59375,231.71924,2.4393887e-06,2.0
68,803401.56,350307.44,853.6371,0.06,330.65332,331.25,286.09235,2.0741287e-05,1.0
69,803426.56,350307.44,621.87897,0.06,331.6556,332.5,260.1725,3.665187e-06,1.0
70,802826.56,350282.44,897.8692,0.06,310.00848,310.5,167.24521,0.0001243774,5.0
71,802851.56,350282.44,625.0,0.06,310.12833,312.53125,227.78673,0.00015771412,1.0
72,802876.56,350282.44,625.0,0.06,313.90756,315.78125,274.52728,0.00011901058,1.0
73,802901.56,350282.44,625.0,0.06,317.30353,318.46875,219.83662,2.1781276e-05,1.0
74,802926.56,350282.44,625.0,0.06,319.00073,320.09375,253.6327,9.399454e-07,1.0
75,802951.56,350282.44,625.0,0.06,320.4598,321.40625,232.95065,5.097314e-06,2.0
76,802976.56,350282.44,625.0,0.06,321.86978,323.15625,241.29556,6.272591e-06,1.0
77,803001.56,350282.44,625.0,0.06,323.42984,324.40625,252.20784,3.4218551e-06,2.0
78,803026.56,350282.44,625.0,0.06,324.69446,325.0,185.63474,7.610192e-06,1.0
79,803051.56,350282.44,625.0,0.06,324.85797,325.5625,195.15279,1.2101797e-05,1.0
80,803076.56,350282.44,625.0,0.06,325.23862,325.78125,190.76974,6.657452e-06,1.0
81,803101.56,350282.44,625.0,0.06,325.014,325.625,182.31816,4.2093423e-05,1.0
82,803126.56,350282.44,625.0,0.06,324.09286,325.90625,176.78323,8.5636595e-05,1.0
83,803151.56,350282.44,625.0,0.06,317.38177,322.59375,87.73602,0.0012189972,1.0
84,803176.56,350282.44,625.0,0.06,317.3633,318.6875,213.41206,0.0023433308,2.0
85,803201.56,350282.44,625.0,0.06,318.0587,321.28125,150.1097,0.00060055446,3.0
86,803226.56,350282.44,625.0,0.06,317.75848,318.34375,161.68604,0.0013789283,2.0
87,803251.56,350282.44,625.0,0.06,319.3137,323.25,180.82864,0.0010875654,1.0
88,803276.56,350282.44,625.0,0.06,320.61053,322.375,213.33687,4.0304574e-05,1.0
89,803301.56,350282.44,625.0,0.06,322.79532,324.34375,258.57278,6.860263e-05,1.0
90,803326.56,350282.44,625.0,0.06,325.42114,326.4375,233.4008,9.627064e-05,4.0
91,803351.56,350282.44,625.0,0.06,327.11887,328.3125,199.58583,0.00017714205,2.0
92,803376.56,350282.44,625.0,0.06,328.6769,329.78125,250.2118,3.152559e-05,1.0
93,803401.56,350282.44,625.0,0.06,330.5977,330.90625,307.22357,3.1211595e-05,2.0
94,803426.56,350282.44,851.522,0.06,331.31836,331.8125,210.97661,6.3647334e-05,14.0
95,802801.56,350257.44,1013.07385,0.06,308.96658,310.1875,188.35873,6.77379e-05,1.0
96,802826.56,350257.44,625.0,0.06,309.4073,310.0625,132.8579,4.3756467e-05,2.0
97,802851.56,350257.44,625.0,0.06,309.40692,311.71875,228.07219,0.00011323018,2.0
98,802876.56,350257.44,625.0,0.06,311.59418,314.90625,236.53708,5.600583e-05,1.0
99,802901.56,350257.44,625.0,0.06,316.13318,318.09375,262.81946,4.8269453e-06,1.0
100,802926.56,350257.44,625.0,0.06,318.80884,319.75,258.82822,9.600851e-08,1.0
101,802951.56,350257.44,625.0,0.06,320.1445,320.8125,252.44446,4.7828034e-06,1.0
102,802976.56,350257.44,625.0,0.06,321.30478,322.34375,243.77536,6.6749367e-06,4.0
103,803001.56,350257.44,625.0,0.06,322.44727,323.4375,226.47981,4.4710514e-06,1.0
104,803026.56,350257.44,625.0,0.06,323.6332,324.53125,194.36458,2.0288833e-05,2.0
105,803051.56,350257.44,625.0,0.06,323.36542,324.8125,218.82362,9.903778e-05,1.0
106,803076.56,350257.44,625.0,0.06,323.31644,325.03125,154.81796,0.00020277716,4.0
107,803101.56,350257.44,625.0,0.06,322.72986,324.40625,195.30962,2.6781685e-05,1.0
108,803126.56,350257.44,625.0,0.06,322.4004,323.875,192.48099,0.00016189025,1.0
109,803151.56,350257.44,625.0,0.06,316.06665,319.78125,104.29059,0.000716193,1.0
110,803176.56,350257.44,625.0,0.06,316.06302,316.625,219.2102,3.8035407e-05,1.0
111,803201.56,350257.44,625.0,0.06,316.4552,317.375,224.58293,0.000103329854,1.0
112,803226.56,350257.44,625.0,0.06,317.00803,317.65625,242.88582,2.9966253e-05,1.0
113,803251.56,350257.44,625.0,0.06,318.06738,319.3125,198.55125,0.00021115955,2.0
114,803276.56,350257.44,625.0,0.06,319.8682,320.96875,219.8077,1.2057103e-05,2.0
115,803301.56,350257.44,625.0,0.06,322.06302,323.90625,251.92276,2.3175297e-05,1.0
116,803326.56,350257.44,625.0,0.06,324.52686,325.96875,226.92862,1.3977239e-05,1.0
117,803351.56,350257.44,625.0,0.06,326.26816,327.4375,196.49506,4.385851e-05,5.0
118,803376.56,350257.44,625.0,0.06,326.8716,330.625,255.48657,0.000701846,1.0
119,803401.56,350257.44,625.0,0.06,328.9752,331.5625,189.06512,0.00022204299,4.0
120,803426.56,350257.44,625.0,0.06,328.9498,331.96875,223.2643,0.00035667443,1.0
121,803451.56,350257.44,989.6664,0.06,330.18973,333.65625,291.05804,0.0005191691,1.0
122,802751.56,350232.44,571.6552,0.06,302.15005,307.25,282.7281,0.0010561163,3.0
123,802776.56,350232.44,848.5237,0.06,307.14175,308.03125,260.01996,1.6863563e-05,1.0
124,802801.56,350232.44,625.0,0.06,307.83517,308.6875,233.24512,4.544627e-05,1.0
125,802826.56,350232.44,625.0,0.06,309.0746,309.3125,223.9863,2.73407e-06,1.0
126,802851.56,350232.44,625.0,0.06,308.79333,309.5625,229.08354,3.6532343e-05,1.0
127,802876.56,350232.44,625.0,0.06,309.8837,312.375,250.25139,6.3431005e-05,1.0
128,802901.56,350232.44,625.0,0.06,314.56522,317.625,256.71338,4.4948814e-05,1.0
129,802926.56,350232.44,625.0,0.06,318.34253,319.65625,273.93243,1.6908947e-05,1.0
130,802951.56,350232.44,625.0,0.06,319.7517,320.46875,244.45279,5.7646835e-06,1.0
131,802976.56,350232.44,625.0,0.06,320.8218,321.5625,254.74713,4.4478425e-06,1.0
132,803001.56,350232.44,625.0,0.06,321.7089,322.53125,218.99942,4.3947343e-06,1.0
133,803026.56,350232.44,625.0,0.06,322.3246,322.84375,188.72665,1.0670774e-05,1.0
134,803051.56,350232.44,625.0,0.06,322.54004,322.78125,237.79099,3.0840147e-05,2.0
135,803076.56,350232.44,625.0,0.06,322.00357,322.90625,179.67851,5.3613858e-05,4.0
136,803101.56,350232.44,625.0,0.06,321.05814,322.28125,135.38101,1.1816254e-05,1.0
137,803126.56,350232.44,625.0,0.06,319.76352,321.25,155.74246,3.4868746e-05,1.0
138,803151.56,350232.44,625.0,0.06,315.3455,316.03125,109.39161,0.0025320929,1.0
139,803176.56,350232.44,625.0,0.06,315.37286,315.96875,209.16762,2.1070834e-06,1.0
140,803201.56,350232.44,625.0,0.06,315.921,316.28125,259.45947,9.890394e-06,1.0
141,803226.56,350232.44,625.0,0.06,316.47333,317.21875,275.66595,6.4142237e-06,1.0
142,803251.56,350232.44,625.0,0.06,318.04767,318.9375,231.99207,2.0069676e-05,1.0
143,803276.56,350232.44,625.0,0.06,318.9825,319.625,209.07654,1.4393552e-05,1.0
144,803301.56,350232.44,625.0,0.06,319.3629,323.125,230.33615,0.00082473323,1.0
145,803326.56,350232.44,625.0,0.06,321.77808,325.09375,206.28679,0.00041499545,2.0
146,803351.56,350232.44,625.0,0.06,324.16962,325.375,165.8833,9.462439e-05,2.0
147,803376.56,350232.44,625.0,0.06,325.00153,325.34375,189.58553,0.00073842495,1.0
148,803401.56,350232.44,625.0,0.06,325.03525,325.75,186.30217,0.00040751975,1.0
149,803426.56,350232.44,625.0,0.06,325.44507,326.25,200.49495,0.00023064118,1.0
150,803451.56,350232.44,625.0,0.06,326.2163,330.09375,215.68477,0.0005142671,1.0
151,803476.56,350232.44,829.0241,0.06,329.11078,329.71875,164.69885,2.2009399e-05,1.0
152,802726.56,350207.44,672.24054,0.1,297.54858,300.6875,270.0,3.286195e-29,1.0
153,802751.56,350207.44,625.0,0.1,302.31946,305.875,234.88242,1.7833723e-05,2.0
154,802776.56,350207.44,625.0,0.06,307.21964,307.4375,237.94121,9.639808e-06,1.0
155,802801.56,350207.44,625.0,0.06,307.50977,308.25,241.88655,1.282462e-05,2.0
156,802826.56,350207.44,625.0,0.06,308.6339,309.0,104.22455,5.807343e-06,4.0
157,802851.56,350207.44,625.0,0.06,308.02527,308.71875,92.17686,0.00012607271,1.0
158,802876.56,350207.44,625.0,0.06,308.28152,310.71875,248.5424,6.346166e-05,2.0
159,802901.56,350207.44,625.0,0.06,311.73505,315.8125,228.91072,0.00015278875,1.0
160,802926.56,350207.44,625.0,0.06,316.32544,318.875,245.23114,2.9403158e-05,1.0
161,802951.56,350207.44,625.0,0.06,319.06268,320.0,233.6557,1.3242898e-06,1.0
162,802976.56,350207.44,625.0,0.06,320.39938,321.03125,271.65283,3.890814e-05,1.0
163,803001.56,350207.44,625.0,0.06,319.3792,322.09375,246.61784,0.00022256801,3.0
164,803026.56,350207.44,625.0,0.06,318.07156,321.71875,179.9522,7.3823925e-05,1.0
165,803051.56,350207.44,625.0,0.06,317.66113,321.5625,157.95186,0.0005073657,6.0
166,803076.56,350207.44,625.0,0.06,317.8264,320.34375,212.28813,0.000111195,1.0
167,803101.56,350207.44,625.0,0.06,318.78564,320.375,165.7785,4.0086657e-06,1.0
168,803126.56,350207.44,625.0,0.06,317.65033,319.8125,178.9439,2.9485373e-05,4.0
169,803151.56,350207.44,625.0,0.06,314.28558,316.125,107.319565,0.00090278767,1.0
170,803176.56,350207.44,625.0,0.06,314.77036,315.3125,246.8612,2.157988e-05,1.0
171,803201.56,350207.44,625.0,0.06,315.57434,316.1875,272.51462,1.6256752e-05,1.0
172,803226.56,350207.44,625.0,0.06,315.7203,317.0625,238.2026,3.40475e-06,1.0
173,803251.56,350207.44,625.0,0.06,317.6044,318.90625,241.29475,4.0757026e-05,5.0
174,803276.56,350207.44,625.0,0.06,318.99023,319.125,247.12012,4.241111e-05,2.0
175,803301.56,350207.44,625.0,0.06,319.1726,319.84375,273.8732,9.527176e-05,1.0
176,803326.56,350207.44,625.0,0.06,321.5829,323.46875,277.18555,2.3122602e-05,1.0
177,803351.56,350207.44,625.0,0.06,324.1527,324.59375,247.4763,2.0245105e-05,1.0
178,803376.56,350207.44,625.0,0.1,324.87115,325.25,342.78516,2.7191838e-05,1.0
179,803401.56,350207.44,625.0,0.06,325.04282,325.34375,327.35602,2.2907204e-06,1.0
180,803426.56,350207.44,625.0,0.06,325.418,325.6875,295.12497,4.828359e-07,2.0
181,803451.56,350207.44,625.0,0.06,326.10934,328.125,253.81647,0.00018228154,1.0
182,803476.56,350207.44,625.0,0.06,328.45963,328.875,207.65602,6.4709184e-07,1.0
183,803501.56,350207.44,695.2964,0.06,328.49557,328.96875,155.67075,4.4116423e-06,8.0
184,802701.56,350182.44,817.8842,0.06,295.71335,297.15625,270.0,3.286195e-29,1.0
185,802726.56,350182.44,625.0,0.06,297.81134,299.0625,270.0,3.286195e-29,1.0
186,802751.56,350182.44,625.0,0.1,300.41776,303.6875,239.23004,0.0004584706,1.0
187,802776.56,350182.44,625.0,0.06,303.8894,306.34375,211.79271,0.00012859378,1.0
188,802801.56,350182.44,625.0,0.06,305.9155,307.4375,215.55943,1.1266516e-05,1.0
189,802826.56,350182.44,625.0,0.06,307.25027,308.375,181.50668,2.2379949e-05,1.0
190,802851.56,350182.44,625.0,0.06,307.1866,307.96875,136.11017,3.4243345e-05,8.0
191,802876.56,350182.44,625.0,0.06,307.0484,308.75,237.7738,8.640766e-07,1.0
192,802901.56,350182.44,625.0,0.06,309.69165,313.15625,240.5313,1.9376925e-05,1.0
193,802926.56,350182.44,625.0,0.06,313.3853,317.4375,229.1773,0.00030610387,1.0
194,802951.56,350182.44,625.0,0.06,315.34958,318.40625,180.04436,0.00027248278,1.0
